LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Tandridge District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,27,35.9471,-8.947101593017578
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),13,44,44.087036,-0.0870361328125
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,42,49.816376,-7.816375732421875
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.258327,-0.2583274841308594
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),12,45,43.537632,1.4623680114746094
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.252583,-4.252582550048828
Welwyn Hatfield District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.115936,-5.115936279296875
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,37,44.625416,-7.625415802001953
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),10,32,36.558002,-4.558002471923828
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),16,50,56.609344,-6.609344482421875
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),10,75,39.125404,35.874595642089844
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,24,22.712854,1.2871456146240234
Barking and Dagenham London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,18,24.451767,-6.4517669677734375
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),16,62,57.95083,4.049171447753906
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,29.255642,-1.2556419372558594
Three Rivers District,Generation,Solar PV,Eastern Power Networks (EPN),6,33,22.886513,10.113487243652344
South Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.5770935,-0.5770934820175171
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,44,49.439037,-5.439037322998047
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,37,43.31673,-6.316730499267578
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),41,105,118.56262,-13.5626220703125
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),11,0,0.11464316,-0.1146431565284729
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,31,23.370312,7.629688262939453
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),28,65,85.16684,-20.166839599609375
Spelthorne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),17,20,57.725864,-37.72586441040039
Richmond upon Thames London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,37,37.59402,-0.5940208435058594
Bromley London Boro,Generation,Solar PV,London Power Networks (LPN),6,18,22.375008,-4.375007629394531
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,49,43.537083,5.462917327880859
Eastbourne District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,21,25.168552,-4.168552398681641
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),7,47,26.29099,20.709009170532227
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),8,27,29.56631,-2.5663108825683594
Fenland District,Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.009037133,-0.009037133306264877
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,58,56.276592,1.7234077453613281
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,21,27.307076,-6.307075500488281
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),9,45,32.43399,12.566009521484375
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),9,31,31.383266,-0.3832664489746094
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),9,30,31.786533,-1.7865333557128906
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),8,54,29.56631,24.43368911743164
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),16,56,56.90438,-0.9043807983398438
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,30,26.036242,3.9637584686279297
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,28,49.971382,-21.97138214111328
Arun District,Demand,EV Charging Point,South Eastern Power Networks (SPN),10,0,0.19229399,-0.19229398667812347
Brentwood District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,26.585867,-2.585866928100586
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),23,69,73.27112,-4.2711181640625
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),23,78,73.27112,4.7288818359375
Sutton London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,37,32.521408,4.4785919189453125
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,20,30.115936,-10.115936279296875
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,23,21.950361,1.0496387481689453
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,18,25.403027,-7.403026580810547
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,16,22.795174,-6.795173645019531
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),9,27,31.383266,-4.383266448974609
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),15,56,52.244343,3.755657196044922
Brent London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.13415854,-0.13415853679180145
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.701645,-3.7016448974609375
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),7,26,26.036242,-0.03624153137207031
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),6,19,22.795174,-3.7951736450195312
Bromley London Boro,Generation,Solar PV,London Power Networks (LPN),10,6,32.427097,-26.42709732055664
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,30,30.192692,-0.19269180297851562
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,44,38.238605,5.761394500732422
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),17,60,67.43284,-7.432838439941406
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,25,30.745604,-5.745603561401367
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.32202393,0.3220239281654358
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),15,47,55.146095,-8.146095275878906
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),10,47,36.558002,10.441997528076172
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,32,35.682945,-3.6829452514648438
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.036242,-3.0362415313720703
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),16,59,56.276592,2.723407745361328
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,26.418327,-2.4183273315429688
Basildon District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.043810308,-0.04381030797958374
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),15,46,53.3354,-7.335399627685547
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),11,0,-0.082135625,0.0821356251835823
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),10,37,39.125404,-2.1254043579101562
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),10,37,35.682945,1.3170547485351562
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),20,51,67.83516,-16.835159301757812
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,16,21.303797,-5.303796768188477
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,27,29.56631,-2.5663108825683594
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),19,0,1.1326239,-1.1326239109039307
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),20,74,68.05181,5.948188781738281
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,34,31.383266,2.6167335510253906
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),11,30,37.935814,-7.935813903808594
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),10,31,58.942234,-27.94223403930664
Haringey London Boro,Generation,Solar PV,Eastern Power Networks (EPN),14,45,43.83025,1.1697502136230469
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,47,26.585867,20.414133071899414
Croydon London Boro,Generation,Wind,South Eastern Power Networks (SPN),11,26,9.835943,16.1640567779541
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),23,79,82.08112,-3.0811233520507812
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,11,21.303797,-10.303796768188477
East Hertfordshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,21,27.693903,-6.693902969360352
Three Rivers District,Generation,Solar PV,Eastern Power Networks (EPN),8,21,30.115936,-9.115936279296875
Guildford District (B),Generation + Demand,Battery Storage,South Eastern Power Networks (SPN),6,26,27.62289,-1.6228904724121094
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,61,22.795174,38.20482635498047
North Norfolk District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.36787248,-0.3678724765777588
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),17,41,59.318703,-18.318702697753906
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.404512,-5.404512405395508
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,25,23.991488,1.0085124969482422
Bedford (B),Demand,EV Charging Point,Eastern Power Networks (EPN),13,0,0.49661744,-0.4966174364089966
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,25,22.795174,2.2048263549804688
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,21,21.512571,-0.5125713348388672
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Hammersmith and Fulham London Boro,Generation,Solar PV,London Power Networks (LPN),12,44,37.55759,6.442409515380859
Rochford District,Generation,Solar PV,Eastern Power Networks (EPN),9,21,30.490032,-9.490032196044922
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,31,32.553364,-1.5533638000488281
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,56,38.238605,17.761394500732422
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,27,25.575472,1.4245281219482422
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),16,57,57.42501,-0.42501068115234375
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,32,42.501064,-10.50106430053711
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,44.989006,-20.98900604248047
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),6,60,23.175089,36.82491111755371
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),13,49,47.281696,1.7183036804199219
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.930664,-3.9306640625
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),14,42,49.65116,-7.651161193847656
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,23,22.886513,0.11348724365234375
Swale District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.18928833,0.18928833305835724
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,27.13878,-0.1387805938720703
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,28,29.834396,-1.8343963623046875
Brent London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.13415854,-0.13415853679180145
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,18,22.886513,-4.886512756347656
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.258327,-0.2583274841308594
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.682945,-1.6829452514648438
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,41,41.959976,-0.9599761962890625
Huntingdonshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.23020442,-0.23020441830158234
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),41,123,111.91602,11.083976745605469
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,30,42.501064,-12.50106430053711
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),6,48,23.490492,24.50950813293457
Basildon District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.043810308,-0.04381030797958374
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),15,47,52.244343,-5.244342803955078
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),11,38,39.113667,-1.1136665344238281
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),6,18,24.000679,-6.000679016113281
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,16,19.933144,-3.9331436157226562
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,27.307076,-3.3070755004882812
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,31.734966,-4.734966278076172
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,31,38.238605,-7.238605499267578
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),23,72,75.82867,-3.8286666870117188
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),8,27,29.56631,-2.5663108825683594
